,title,Directed by,Written by,Based on,Produced by,Starring,Music by,Production company,Distributed by,Release dates,Running time,Country,Language,Budget,Box office,Budget (float),Box office (float),Running time (int),Release date (datetime),imdb,metascore,rotten tomatoes,Story by,Narrated by,Cinematography,Release date,Edited by,Languages,Screenplay by,Countries,Color process,Production companies,Japanese,Hepburn,Adaptation by,Traditional,Simplified,Original title,Layouts by,Music,Lyrics,Book,Basis,Productions,Awards
0,Snow White and the Seven Dwarfs,"['David Hand', 'William Cottrell', 'Wilfred Jackson', 'Larry Morey', 'Perce Pearce', 'Ben Sharpsteen']","['Ted Sears', 'Richard Creedon', 'Otto Englander', 'Dick Rickard', 'Earl Hurd', 'Merrill De Maris', 'Dorothy Ann Blank', 'Webb Smith']","['Snow White', 'by The', 'Brothers Grimm']",Walt Disney,"['Adriana Caselotti', 'Lucille La Verne', 'Harry Stockwell', 'Roy Atwell', 'Pinto Colvig', 'Otis Harlan', 'Scotty Mattraw', 'Billy Gilbert', 'Eddie Collins', 'Moroni Olsen', 'Stuart Buchanan']","['Frank Churchill', 'Paul Smith', 'Leigh Harline']",Walt Disney Productions,RKO Radio Pictures,"['December 21, 1937 ( Carthay Circle Theatre )', 'February 4, 1938 (United States)']",83 minutes,United States,English,$1.49 million,$418 million,1490000.0,418000000.0,83.0,,7.6,95,,,,,,,,,,,,,,,,,,,,,,,,
1,Pinocchio,"['Ben Sharpsteen', 'Hamilton Luske', 'Bill Roberts', 'Norman Ferguson', 'Jack Kinney', 'Wilfred Jackson', 'T. Hee']",,"['The Adventures of Pinocchio', 'by', 'Carlo Collodi']",Walt Disney,"['Cliff Edwards', 'Dickie Jones', 'Christian Rub', 'Walter Catlett', 'Charles Judels', 'Evelyn Venable', 'Frankie Darro']","['Leigh Harline', 'Paul J. Smith']",Walt Disney Productions,RKO Radio Pictures,"['February 7, 1940 ( Center Theatre )', 'February 23, 1940 (United States)']",88 minutes,United States,English,$2.6 million,$164 million,2600000.0,164000000.0,88.0,,7.5,99,,"['Ted Sears', 'Otto Englander', 'Webb Smith', 'William Cottrell', 'Joseph Sabo', 'Erdman Penner', 'Aurelius Battaglia']",,,,,,,,,,,,,,,,,,,,,,
2,Fantasia,"['Samuel Armstrong', 'James Algar', 'Bill Roberts', 'Paul Satterfield', 'Ben Sharpsteen', 'David D. Hand', 'Hamilton Luske', 'Jim Handley', 'Ford Beebe', 'T. Hee', 'Norman Ferguson', 'Wilfred Jackson']",,,"['Walt Disney', 'Ben Sharpsteen']","['Leopold Stokowski', 'Deems Taylor']",See program,Walt Disney Productions,RKO Radio Pictures,,126 minutes,United States,English,$2.28 million,$76.4–$83.3 million (United States and Canada),2280000.0,83300000.0,126.0,1940-11-13,7.7,96,,"['Joe Grant', 'Dick Huemer']",Deems Taylor,James Wong Howe,"['November 13, 1940']",,,,,,,,,,,,,,,,,,,
3,The Reluctant Dragon,"['Alfred Werker', '(live action)', 'Hamilton Luske', '(animation)', 'Jack Cutting', ',', 'Ub Iwerks', ',', 'Jack Kinney', '(sequence directors)']","['Live-action:', 'Ted Sears', 'Al Perkins', 'Larry Clemmons', 'Bill Cottrell', 'Harry Clork', 'Robert Benchley', 'The Reluctant Dragon', 'segment:', 'Kenneth Grahame', '(original book)', 'Erdman Penner', 'T. Hee', 'Baby Weems', 'segment:', 'Joe Grant', 'Dick Huemer', 'John Miller']",,Walt Disney,"['Robert Benchley', 'Frances Gifford', 'Buddy Pepper', 'Nana Bryant']","['Frank Churchill', 'Larry Morey']",Walt Disney Productions,RKO Radio Pictures,,74 minutes,United States,English,"$600,000","$960,000 (worldwide rentals)",600000.0,960000.0,74.0,1941-06-27,6.8,N/A,,,,Bert Glennon,"['June 27, 1941']",Paul Weatherwax,,,,,,,,,,,,,,,,,,
4,Dumbo,"['Ben Sharpsteen', 'Norman Ferguson', 'Wilfred Jackson', 'Bill Roberts', 'Jack Kinney', 'Samuel Armstrong']",,"['Dumbo, the Flying Elephant', 'by', 'Helen Aberson', 'Harold Pearl']",Walt Disney,"['Edward Brophy', 'Verna Felton', 'Cliff Edwards', 'Herman Bing', 'Sterling Holloway', 'Margaret Wright', 'Hall Johnson Choir']","['Frank Churchill', 'Oliver Wallace']",Walt Disney Productions,RKO Radio Pictures,"['October 23, 1941 (New York City)', 'October 31, 1941 (U.S.)']",64 minutes,United States,English,"$950,000",">$1.3 million (est. United States/Canada rentals, 1941)",950000.0,1300000.0,64.0,,7.2,96,,"['Joe Grant', 'Dick Huemer']",John McLeish,,,,,,,,,,,,,,,,,,,,,
5,Bambi,"['Supervising director', 'David Hand', 'Sequence directors', 'James Algar', 'Samuel Armstrong', 'Graham Heid', 'Bill Roberts', 'Paul Satterfield', 'Norman Wright']",,"['Bambi, a Life in the Woods', 'by', 'Felix Salten']",Walt Disney,see below,"['Frank Churchill', 'Edward H. Plumb']",Walt Disney Productions,RKO Radio Pictures,"['August 9, 1942 ( London )', 'August 21, 1942 (United States)']",70 minutes,United States,English,"$858,000",$267.4 million,858000.0,267399999.99999997,70.0,,7.3,91,,"['Story direction', 'Perce Pearce', 'Story adaptation', 'Larry Morey', 'Story development', 'Vernon Stallings', 'Melvin Shaw', 'Carl Fallberg', 'Chuck Couch', 'Ralph Wright']",,,,,,,,,,,,,,,,,,,,,,
6,Saludos Amigos,"['Norman Ferguson', 'Wilfred Jackson', 'Jack Kinney', 'Hamilton Luske', 'Bill Roberts']",,,Walt Disney,"['Lee Blair', 'Mary Blair', 'Pinto Colvig', 'Walt Disney', 'Norman Ferguson', 'Frank Graham', 'Clarence Nash', 'José Oliveira', 'Frank Thomas']","['Paul Smith', 'Edward H. Plumb']",Walt Disney Productions,RKO Radio Pictures,"['August 24, 1942 (World Premiere – Rio de Janeiro)', 'February 6, 1943 (U.S. Premiere – Boston)', 'February 19, 1943 (U.S.)']",42 minutes,United States,,,$1.135 million (worldwide rentals),,1135000.0,42.0,,6.1,60,,"['Homer Brightman', 'William Cottrell', 'Richard Huemer', 'Joe Grant', 'Harold Reeves', 'Ted Sears', 'Webb Smith', 'Roy Williams', 'Ralph Wright']",Fred Shields,,,,"['English', 'Portuguese', 'Spanish']",,,,,,,,,,,,,,,,,
7,Victory Through Air Power,"['Animated sequences:', 'James Algar', 'Clyde Geronimi', 'Jack Kinney', 'de Seversky scenes:', 'H.C. Potter']","['Story direction:', 'Perce Pearce', 'Story adaptation:', 'T. Hee', 'Erdman Penner', 'Bill Cottrell', 'James Brodero', 'George Stallings', 'Jose Rodriguez']",Victory Through Air Power by Maj. Alexander P. Seversky,Walt Disney,Alexander de Seversky,"['Edward H. Plumb', 'Paul J. Smith', 'Oliver Wallace']",Walt Disney Productions,United Artists,,65 min,United States,English,"$788,000","$799,000",788000.0,799000.0,65.0,1943-07-17,6.5,N/A,,,Art Baker,Ray Rennahan,"['July 17, 1943']",Jack Dennis,,,,,,,,,,,,,,,,,,
8,The Three Caballeros,"['Norman Ferguson', 'Clyde Geronimi', 'Jack Kinney', 'Bill Roberts', 'Harold Young']",,,Walt Disney,"['Clarence Nash', 'José Oliveira', 'Joaquin Garay']","['Edward H. Plumb', 'Paul J. Smith', 'Charles Wolcott']",Walt Disney Productions,RKO Radio Pictures,"['December 21, 1944 (Mexico City)', 'February 3, 1945 (United States)']",71 minutes,United States,,,$3.355 million (worldwide rentals),,3355000.0,71.0,,6.3,85,,"['Homer Brightmen', 'Ernest Terrazas', 'Ted Sears', 'Bill Peet', 'Ralph Wright', 'Elmer Plummer', 'Roy Williams', 'William Cottrell', 'Del Connell', 'James Bodrero']",,,,,"['English', 'Spanish', 'Portuguese']",,,,,,,,,,,,,,,,,
9,Make Mine Music,"['Jack Kinney', 'Clyde Geronimi', 'Hamilton Luske', 'Joshua Meador', 'Robert Cormack']",,"['""', 'Casey at the Bat', '""', 'by', 'Ernest Thayer', 'Peter and the Wolf', 'by', 'Sergei Prokofiev']",Walt Disney,Nelson Eddy,"['Eliot Daniel', 'Ken Darby', 'Charles Wolcott', 'Oliver Wallace', 'Edward Plumb']",Walt Disney Productions,"RKO Radio Pictures, Inc.","['April 20, 1946 (New York City premiere)', 'August 15, 1946 (U.S.)']",75 minutes,United States,English,$1.35 million,$3.275 million (worldwide rentals),1350000.0,3275000.0,75.0,,6.2,60,,"['James Bodrero', 'Homer Brightman', 'Erwin Graham', 'Eric Gurney', 'T. Hee', 'Sylvia Holland', 'Dick Huemer', 'Dick Kelsey', 'Dick Kinney', 'Jesse Marsh', 'Tom Oreb', 'Cap Palmer', 'Erdman Penner', 'Dick Shaw', 'Harry Reeves', 'John Walbridge', 'Roy Williams']",,,,,,,,,,,,,,,,,,,,,,
